"ResponseId","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10","Q11","Q12","Q13","Q14","Q15","Q16","Q18","Q19","Q20","Q21","Q22","Q23","Q24","Q25_1","Q25_2","Q25_3","Q25_4","Q25_5","Q25_6","Q25_7","Q25_8","Q25_9","Q25_10","Q26","Q27","Q28","Q29","Q30","Age.Group","Country.of.Subsidiary","Gender","Locale"
"R_3DexnsZwCrLwQ8t",4,5,5,3,4,5,5,5,5,5,5,5,5,5,5,5,NA,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,4,4,5,"3,5,6","35 to less than 45","China","Female","China"
"R_2rN1qxr7SAarbKQ",5,5,4,5,4,5,5,5,5,4,4,4,5,4,4,5,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8,"2,5,6","35 to less than 45","China","Male","China"
"R_3PbD3IVk02VoVHM",4,4,5,3,2,4,4,4,3,2,3,3,5,5,5,4,NA,5,NA,3,2,3,2,5,2,3,4,4,2,4,5,5,3,2,5,5,5,"1,3,6","25 to less than 35","China","Female","China"
"R_r83ymozQaumrAU9",3,4,3,3,3,4,4,3,4,3,3,3,4,4,3,4,NA,5,3,4,3,3,3,5,3,5,3,3,3,3,3,4,3,4,5,5,5,"2,5,6","35 to less than 45","China","Female","China"
"R_1mt2BmlU4UCxxBY",4,5,5,3,5,4,5,4,4,5,4,4,5,5,4,4,NA,5,2,4,2,3,3,4,5,3,3,3,5,5,4,5,5,2,5,4,8,"1,3,4","25 to less than 35","Germany","Female","Germany"
"R_2cvDIi75rLQOiMd",4,4,3,3,4,4,5,3,3,3,2,4,5,5,4,3,7,5,5,3,NA,2,NA,5,4,2,4,5,3,3,4,3,4,2,2,4,8,"5,7","25 to less than 35","Germany","Male","Germany"
"R_1dGDKsRYm5gfJnl",4,4,3,4,4,4,4,4,5,4,4,4,5,5,4,4,4,5,5,3,3,3,3,4,4,4,4,4,4,5,5,4,4,2,4,6,7,"1,2,3","35 to less than 45","China","Male","China"
"R_33yvm8m21Te5hdN",4,4,4,4,4,4,5,5,5,4,4,4,4,4,4,5,6,NA,3,4,4,4,4,5,4,5,4,5,5,5,5,5,5,1,1,2,4,"","25 to less than 35","China","Male","China"
"R_2ydRIkMM3D7AEQG",5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,8,"1,2,3","55 years or over","Germany","Female","Germany"
"R_3F4KQP4aLFX2jBF",4,4,4,4,4,4,3,4,3,4,3,3,3,3,3,4,3,2,5,4,4,4,4,4,4,3,4,5,4,4,4,4,4,2,4,4,5,"1,3,5","55 years or over","Germany","Female","Germany"
"R_3RyywPysodb8fy8",3,4,4,4,3,4,4,4,3,4,3,4,4,4,4,4,NA,1,3,3,3,4,3,2,2,2,2,2,2,2,2,3,2,2,4,5,5,"1,2,6","35 to less than 45","China","Male","China"
"R_rjd0vwAX4rhHy0h",4,4,4,5,5,4,4,4,4,3,3,4,4,4,4,4,NA,5,NA,2,3,3,2,4,5,4,3,3,5,5,5,5,5,4,4,2,5,"1,2,3","45 to less than 55","Germany","Male","Germany"
"R_237fisHSgBQU67G",4,4,4,4,4,5,5,4,4,4,4,4,5,5,4,4,NA,5,NA,4,4,4,3,4,5,4,5,5,4,5,5,5,4,4,4,5,7,"1,3,6","35 to less than 45","China","Male","China"
"R_124GcQOMqTtq7Ad",4,4,4,3,4,4,4,4,4,5,4,4,5,5,5,4,NA,2,2,3,4,3,4,3,3,3,3,3,3,5,5,5,5,2,5,4,5,"1,5,6","55 years or over","Germany","Female","Germany"
"R_3HnXHcNY0JPIhwI",4,4,4,4,4,4,5,5,4,4,5,4,5,5,4,4,NA,2,4,4,4,3,2,5,5,5,5,4,5,4,4,4,5,2,4,4,8,"1,2,4","45 to less than 55","Germany","Female","Germany"
"R_2cq45aLxJ15K3jG",5,4,3,5,4,3,3,4,4,5,5,5,5,4,4,4,2,5,4,1,2,1,2,5,5,5,5,5,5,5,5,5,5,2,2,4,8,"3,5,6","45 to less than 55","Germany","Female","Germany"
"R_5yZYYPn9xKmFN6x",4,4,3,3,2,3,4,4,3,3,3,3,5,4,4,4,NA,5,5,3,2,5,4,4,4,4,4,3,3,5,4,4,4,2,5,4,8,"1,3,5","25 to less than 35","Germany","Female","Germany"
"R_XB6rEvSZz4zUHeN",4,5,4,4,4,4,5,5,4,4,5,4,5,5,5,4,7,2,NA,4,3,1,2,4,1,NA,5,5,4,3,3,3,4,2,2,4,7,"3,4,5","35 to less than 45","Germany","Female","Germany"
"R_OuPagq9X35qgeit",4,4,3,4,3,3,4,4,3,4,4,3,4,4,4,4,NA,2,4,3,1,4,3,4,5,3,4,4,4,3,4,4,5,4,5,4,7,"1,2,3","45 to less than 55","Germany","Female","Germany"
"R_r1NWkmdOOOW13Dr",5,5,5,5,4,3,4,3,2,2,2,2,3,4,3,4,NA,5,NA,2,1,4,4,5,4,5,5,5,5,4,5,5,5,1,2,4,4,"2,3,6","55 years or over","Germany","Male","Germany"
"R_DIe7UiFSTq35djr",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,1,4,5,"1,3,6","35 to less than 45","Germany","Female","Germany"
"R_1P6In29HnPSN5Ba",5,5,5,4,4,5,5,5,5,5,5,5,4,4,5,5,NA,2,5,3,1,2,2,4,5,3,3,3,2,2,3,4,4,4,4,4,7,"1,2,4","less than 25","Germany","Male","Germany"
"R_22t4bwDo9lsXafD",3,3,3,1,2,2,2,2,3,3,3,1,4,3,4,4,7,4,NA,1,1,1,1,4,5,4,4,4,4,5,3,4,4,2,4,1,8,"3","55 years or over","Germany","Male","Germany"
"R_2tKWAePpfvoTxMR",4,4,3,4,3,5,5,4,4,4,5,5,4,4,4,3,NA,5,4,4,5,4,4,4,4,4,4,4,4,5,5,5,4,4,4,5,7,"1,2,6","35 to less than 45","Germany","Female","Germany"
"R_3GydkjF15zDUFcD",4,4,4,4,4,5,5,4,4,3,4,4,5,5,5,5,NA,NA,4,2,1,2,2,5,5,5,5,5,5,5,5,5,5,4,5,2,7,"1,2,3","35 to less than 45","Germany","Female","Germany"
"R_PO1I2DAcGbV4rD3",4,4,3,3,4,4,3,4,4,4,4,4,5,5,4,4,1,NA,NA,4,3,3,3,5,4,5,5,5,5,5,4,4,4,2,4,4,4,"2,5,6","35 to less than 45","China","Female","China"
"R_31L3Ygjo5XBe4Jm",4,4,4,4,4,4,5,3,2,3,4,4,5,4,4,4,NA,2,5,3,2,3,2,4,5,3,4,4,5,5,4,5,5,4,4,4,8,"1,3,4","less than 25","Germany","Male","Germany"
"R_2PhAKxA7VvvpOCi",5,5,4,4,3,3,5,3,4,3,3,3,4,4,4,4,NA,2,NA,2,2,2,3,5,5,4,5,5,5,5,5,5,5,2,4,4,8,"2,3,7","35 to less than 45","Germany","Female","Germany"
"R_9zc6nId0WPwysc9",4,4,4,4,3,4,4,4,4,2,2,3,5,5,4,5,2,NA,3,2,2,2,2,4,5,4,4,4,3,3,4,3,5,4,5,5,7,"1,2,3","35 to less than 45","Germany","Female","Germany"
"R_yKOXG975k80TxFT",4,3,2,2,4,3,4,3,3,2,3,3,4,4,4,4,1,2,5,2,1,4,4,4,4,1,4,4,4,3,3,3,4,2,5,4,4,"1,3,4","45 to less than 55","Germany","Male","Germany"
"R_2dgyoyLle8yHM69",3,3,3,3,4,3,3,3,3,3,4,4,4,4,4,4,3,5,4,3,2,3,2,4,5,4,5,5,5,4,4,4,4,4,5,4,4,"1,3,4","35 to less than 45","Germany","Female","Germany"
"R_3iDAERPLOMOwtCZ",5,5,5,4,4,5,5,5,4,4,4,4,5,5,5,5,NA,5,5,4,3,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,5,5,"1,3,5","35 to less than 45","Germany","Female","Germany"
"R_0kafF6NrcURZoK5",4,4,3,4,4,3,4,3,2,2,3,3,4,4,4,4,4,5,4,2,2,3,3,4,4,4,4,4,4,4,4,4,4,7,4,5,1,"1,5,6","45 to less than 55","Germany","Female","Germany"
"R_uxfZoDoKB5UZPmp",4,4,4,5,4,5,5,4,4,4,4,5,5,5,5,4,2,5,4,4,4,4,4,5,5,4,4,4,5,4,3,5,3,4,4,4,8,"1,2,3","45 to less than 55","Germany","Male","Germany"
"R_33dSxyql8XLkpJ9",5,5,4,4,4,5,5,4,4,3,4,5,5,5,5,5,4,1,4,2,3,2,1,5,4,5,4,4,4,5,4,5,5,2,4,4,5,"1,2,5","35 to less than 45","Germany","Female","Germany"
"R_1rqMnWqHWUEZ3eD",4,4,4,4,3,3,4,3,4,3,3,3,3,4,4,4,NA,1,NA,3,2,3,2,3,3,3,3,3,3,3,3,3,3,4,6,6,1,"2,3,5","35 to less than 45","China","Female","China"
"R_eM2ctUBcOXImFeV",4,3,2,4,5,5,4,3,4,2,4,5,5,4,4,5,NA,1,NA,4,4,3,3,3,4,1,3,3,4,4,3,2,2,7,4,4,5,"1,3,4","55 years or over","Germany","Male","Germany"
"R_pyKAtWS7dqWalON",3,3,3,3,2,3,3,2,1,2,2,2,4,3,3,3,NA,NA,NA,1,1,2,2,5,5,3,5,5,5,5,5,5,4,2,4,4,5,"1,3,5","25 to less than 35","Germany","Male","Germany"
"R_2w057I28Nh7X0TJ",4,4,3,4,4,4,5,4,4,4,4,4,5,4,5,4,NA,2,4,4,4,4,3,5,5,3,4,3,3,3,3,4,4,5,4,2,7,"1,3,6","55 years or over","Germany","Male","Germany"
"R_3gLPY8kmTOHs7nV",4,4,3,1,3,3,3,1,4,4,4,4,4,4,4,3,4,5,NA,1,2,4,1,NA,NA,NA,4,5,4,NA,NA,NA,NA,7,4,4,7,"1,3,5","55 years or over","Germany","Male","Germany"
"R_1otKcdL6FHcTvss",4,4,4,5,3,4,5,4,3,3,4,4,3,4,3,4,NA,2,2,4,4,3,2,5,5,5,5,5,5,5,5,5,5,4,5,4,7,"1,6,7","35 to less than 45","Germany","Female","Germany"
"R_3eqqPZpSFHXCwUX",5,4,4,4,1,3,5,4,3,2,2,3,3,3,3,3,NA,5,3,2,2,2,1,2,2,2,2,2,2,2,2,4,2,2,4,4,7,"1,3,4","35 to less than 45","Germany","Male","Germany"
"R_33vudcufyzIEKeA",4,4,3,5,4,5,4,2,4,3,4,4,5,3,4,5,NA,5,5,2,2,3,2,4,5,4,4,5,5,4,4,3,4,1,5,4,7,"1,3,6","55 years or over","Germany","Male","Germany"
"R_1FDkIMVVAFkZhW6",5,5,5,5,5,5,5,5,4,4,4,4,5,5,4,4,NA,5,5,4,3,4,3,4,4,3,4,4,5,5,4,4,4,2,5,4,5,"1,3,6","35 to less than 45","Germany","Female","Germany"
"R_oZxMlp4ag0O44dX",3,2,1,1,1,5,4,3,2,4,2,4,5,5,4,4,NA,2,NA,2,4,5,4,5,5,5,5,5,5,5,5,4,4,4,5,4,5,"3,4","25 to less than 35","Germany","Female","Germany"
"R_1i3Ayg36569DLS3",5,5,5,5,4,5,4,5,5,5,4,5,5,4,4,4,NA,5,5,4,4,4,4,4,5,4,5,5,5,4,4,5,4,2,2,4,8,"1,3,6","45 to less than 55","Germany","Female","Germany"
"R_1pXuuhPuyueCl73",3,3,3,4,3,4,3,2,2,3,2,2,4,5,4,4,2,2,3,2,2,2,3,2,4,2,4,3,2,4,4,2,3,2,4,2,5,"1,3","25 to less than 35","Germany","Male","Germany"
"R_3DkCfGAYnV4Sz6w",5,4,3,4,4,4,4,4,4,5,4,5,5,5,5,5,NA,5,4,4,3,4,4,4,5,4,5,4,4,5,5,4,4,4,5,4,7,"1,2,4","45 to less than 55","Germany","Female","Germany"
